,제목,평점,장르,줄거리
12,자산어보,9,드라마,"“이 양반은 대역 죄인이니 너무 잘해줄 생각들 말어”순조 1년, 신유박해로 세상의 끝 흑산도로 유배된 ‘정약전’.호기심 많은 '정약전'은 그 곳에서 바다 생물에 매료되어 책을 쓰기로 한다.이에 바다를 훤히 알고 있는 청년 어부 ‘창대’에게 도움을 구하지만‘창대’는 죄인을 도울 수 없다며 단칼에 거절한다.“내가 아는 지식과 너의 물고기 지식을 바꾸자""‘창대’가 혼자 글 공부를 하며 어려움을 겪고 있다는 것을 알게 된 ‘정약전’은 서로의 지식을 거래하자고 제안하고거래라는 말에 ‘창대’는 못 이기는 척 받아들인다.둘은 티격태격하면서도 점차 서로의 스승이자 벗이 되어 간다.""너 공부해서 출세하고 싶지?""그러던 중 '창대'가 출세하기 위해 공부에 매진했다는 사실을 알게 된 '정약전'은 크게 실망한다.‘창대’ 역시 '정약전'과는 길이 다르다는 것을 깨닫고'정약전'의 곁을 떠나 세상 밖으로 나가고자 결심하는데..."
13,라야와 마지막 드래곤,9,애니메이션,"인간과 드래곤이 평화롭게 공존하던 신비의 땅, 쿠만드라 왕국살아있는 모든 생명을 삼키는 악의 세력 '드룬'이 들이닥치자,드래곤들은 인간을 구하기 위해 스스로를 희생하고 전설 속으로 사라진다.500년 후 부활한 '드룬'이 또다시 세상을 공포에 빠뜨리자,전사 ‘라야’는 분열된 쿠만드라를 구하기 위해전설 속 마지막 드래곤을 찾아 모험을 떠난다.그러나, ‘라야’는 험난한 여정을 겪으며 세상을 구하기 위해서는전설 속 드래곤보다 더 중요한 것이 있다는 것을 깨닫게 되는데…"
15,어벤져스: 인피니티 워,8,액션,"새로운 조합을 이룬 어벤져스,역대 최강 빌런 타노스에 맞서 세계의 운명이 걸린인피니티 스톤을 향한 무한 대결이 펼쳐진다!마블의 클라이맥스를 목격하라!"
16,분노의 질주: 홉스&쇼,7,액션,공식적으로만 세상을 4번 구한 전직 베테랑 경찰 ‘루크 홉스’(드웨인 존슨)분노 조절 실패로 쫓겨난 전직 특수요원 ‘데카드 쇼’(제이슨 스타뎀)99.9% 완벽히 다른 두 남자는 전 세계를 위협하는 불가능한 미션을 해결하기 위해어쩔 수 없이 한 팀이 되고 마는데…
17,어벤져스: 엔드게임,9,액션,인피니티 워 이후 절반만 살아남은 지구마지막 희망이 된 어벤져스먼저 떠난 그들을 위해 모든 것을 걸었다!위대한 어벤져스운명을 바꿀 최후의 전쟁이 펼쳐진다!
18,곡성(哭聲),7,드라마,"낯선 외지인(쿠니무라 준)이 나타난 후 벌어지는 의문의 연쇄 사건들로 마을이 발칵 뒤집힌다. 경찰은 집단 야생 버섯 중독으로 잠정적 결론을 내리지만 모든 사건의 원인이 그 외지인 때문이라는 소문과 의심이 걷잡을 수 없이 퍼져 나간다. 경찰 ‘종구’(곽도원)는 현장을 목격했다는 여인 ‘무명’(천우희)을 만나면서 외지인에 대한 소문을 확신하기 시작한다. 딸 ‘효진’(김환희)이 피해자들과 비슷한 증상으로 아파오기 시작하자 다급해진 ‘종구’. 외지인을 찾아 난동을 부리고, 무속인 ‘일광’(황정민)을 불러들이는데..."
19,헝거게임 : 더 파이널,7,액션,"두 번의 헝거게임에서 살아남은 생존자 캣니스 에버딘. 그런 그녀를 향한 스노우 대통령의 공격은 더욱 거세지고 캣니스의 분노는 폭발한다.캣니스는 그를 멈추고 모든 것을 끝낼 수 있는 사람이 바로 자신임을 깨닫고, 13구역 군단에 합류한다. 철저하게 준비를 끝낸 캣니스와 최정예 요원들은 캐피톨 입성에 성공하지만 스노우 대통령이 설치한 함정들로 인해 목숨을 위협받는 위험한 상황에 처하게 된다.희생된 동료들을 뒤로한 채 가까스로 스노우 대통령과의 대결을 앞둔 캣니스에게 또 다른 충격적인 사건이 벌어지는데…마침내 최후의 승자가 결정된다!"
20,500일의 썸머,8,코미디,운명적 사랑을 믿는 남자 ‘톰’모든 것이 특별한 여자 ‘썸머’에 완전히 빠졌다.사랑은 환상일 뿐이라고 생각하는 여자 ‘썸머’친구인 듯 연인 같은 ‘톰’과의 부담 없는 썸이 즐겁다.“저기… 우리는 무슨 관계야?”설렘으로 가득한 시간도 잠시두 사람에게도 피할 수 없는 선택의 순간이 찾아오는데…“우리 모두의 단짠단짠 연애담!”설레는 1일부터 씁쓸한 500일까지서로 다른 남녀의 극사실주의 하트시그널!
21,노바디 ,8,액션,"비범한 과거를 숨긴 채 남들과 다를 바 없는 평범한 일상을 사는 한 가정의 가장 ‘허치’매일 출근을 하고, 분리수거를 하고 일과 가정 모두 나름 최선을 다하지만아들한테는 무시당하고 아내와의 관계도 소원하다.그러던 어느 날, 집안에 강도가 들고 허치는 한 번의 반항도 하지 못하고 당한다.더 큰 위험으로부터 가족을 지키기 위한 선택이었는데 모두 무능력하다고 ‘허치’를 비난하고,결국 그동안 참고 억눌렀던 분노가 폭발하고 만다."
22,애드 아스트라,7,공포/스릴러,"미 육군 소령  ‘로이 맥브라이드’(브래드 피트)는우주의 지적생명체를 찾기 위한 ‘리마 프로젝트’를 수행하다 실종된 아버지를영웅이라 믿으며 우주 비행사의 꿈을 키웠다. 어느 날, ‘로이’는 이상 현상으로 우주 안테나에서 지구로 추락하는 사고를 당하고인류를 위협할 전류 급증 현상인 이 ‘써지’ 사태가자신의 아버지가 벌인 위험한 실험에서 시작되었다는 이야기를 듣게 된다. 믿고 있는 모든 것이 흔들린다!아버지가 살아 있다는 충격적인 사실과 함께그를 막아야 한다는 임무를 맡게 된 ‘로이’는 우주로 향하게 되는데…지금껏 본 적 없는 진짜 미래를 경험하라!"
23,연평해전,9,드라마,"해군 출신 아버지의 자랑스러운 아들이자, 참수리 357호 정장 ‘윤영하’ 대위아내의 든든한 남편이자, 참수리 357호 조타장 ‘한상국’ 하사어머니의 하나뿐인 아들이자, 참수리 357호 의무병 ‘박동혁’ 상병참수리 357호 대원들은 실전을 방불케 하는 고된 훈련 속에 서로를 의지하며 가족 같은 존재가 되어간다.무더운 여름과 함께 월드컵의 함성이 뜨거워지는 가운데, 한국과 터키의 3, 4위전 경기가 열리던 그날서해 바다 한 가운데에 포성이 울리는데…2016년 제 21회 팜 비치 국제영화제 초청"
24,분노의 질주: 더 세븐,9,액션,"거대 범죄 조직을 소탕한 뒤 전과를 사면 받고, 평범한 일상을 되찾은 도미닉(빈 디젤)과 멤버들.하지만 평화도 잠시, 한(성 강)의 갑작스러운 죽음에 이어, 도미닉의 집이 순식간에 폭파당한다.그들을 차례대로 제거하려는 최악의 상대 데카드 쇼(제이슨 스타뎀)의 등장으로도미닉은 다시 한 번 역대 최강의 멤버들을 불러모아 숨막히는 반격을 결심하는데…"
25,노트북,9,드라마,"17살, ‘노아’는 밝고 순수한 ‘앨리’를 보고 첫눈에 반한다. 빠른 속도로 서로에게 빠져드는 둘.그러나 이들 앞에 놓인 장벽에 막혀 이별하게 된다. 24살, ‘앨리’는 우연히 신문에서 ‘노아’의 소식을 접하고 잊을 수 없는 첫사랑 앞에서 다시 한 번 선택의 기로에 서게 되는데… 열일곱의 설렘, 스물넷의 아픈 기억, 그리고 마지막까지… 한 사람을 지극히 사랑했으니 내 인생은 성공한 인생입니다"
27,테넷,8,액션,시간의 흐름을 뒤집는 인버전을 통해 현재와 미래를 오가며 세상을 파괴하려는 사토르(케네스 브래너)를 막기 위해 투입된 작전의 주도자(존 데이비드 워싱턴). 인버전에 대한 정보를 가진 닐(로버트 패틴슨)과 미술품 감정사이자 사토르에 대한 복수심이 가득한 그의 아내 캣(엘리자베스 데비키)과 협력해 미래의 공격에 맞서 제3차 세계대전을 막아야 한다!
28,알라딘,9,액션,"머나먼 사막 속 신비의 아그라바 왕국의 시대.좀도둑 ‘알라딘’은 마법사 ‘자파’의 의뢰로 마법 램프를 찾아 나섰다가주인에게 세 가지 소원을 들어주는 지니를 만나게 되고,자스민 공주의 마음을 얻으려다 생각도 못했던 모험에 휘말리게 되는데…"
29,스타 이즈 본,9,드라마,"노래에 놀라운 재능을 가졌지만 외모에는 자신이 없는 무명가수 앨리(레이디 가가)는공연을 하던 바에서 우연히 톱스타 잭슨 메인(브래들리 쿠퍼)을 만나게 된다.자신의 모든 것을 사랑해주는 잭슨의 도움으로 앨리는 자기 안의 열정을 폭발시키며 최고의 스타로 거듭나지만,잭슨은 어린 시절의 상처와 예술가적 고뇌 속에서 점점 무너져가는데…"
30,독전,7,액션,"의문의 폭발 사고 후,오랫동안 마약 조직을 추적해온 형사 ‘원호’(조진웅)의 앞에조직의 후견인 ‘오연옥’(김성령)과 버림받은 조직원 ‘락’(류준열)이 나타난다.그들의 도움으로 아시아 마약 시장의 거물 ‘진하림’(김주혁)과 조직의 숨겨진 인물 ‘브라이언’(차승원)을 만나게 되면서그 실체에 대한 결정적 단서를 잡게 되는데…끝까지 의심하라!독한 자들의 전쟁이 시작된다!"
31,레이디 버드,8,코미디,"안녕 내 이름은 ""레이디 버드""라고 해다른 이름이 있지만, 내가 나에게 이름을 지어줬지모두가 나에게 잘 살아보라고 충고로 위장한 잔소리를 해하지만 지금 이 모습이 내 최고의 모습이라면?날 좀 그냥 내버려 둬!"
33,아델라인 : 멈춰진 시간,8,드라마,"우연한 사고 이후 영원히 늙지 않게 된 아델라인은 올해로 107세가 됐지만, 여전히 29세의 미모를 간직하고 있다.자신의 정체를 수상하게 여기는 사람들을 피해 10년마다 신분과 거주지를 바꾸며 외롭게 살아가던 아델라인은 새해 전야 파티에서 만난 엘리스와 사랑에 빠지게 된다.자신의 삶을 저주라고 생각하는 아델라인은 그에게 자신의 비밀을 고백하려 하는데…시간이 멈춘 아델라인의 사랑은 다시 시작 될 수 있을까?"
34,바람의 검심 : 교토 대화재편,8,액션,"세상을 뒤흔들 반란을 계획하고 있는 절대악 시시오와 그의 부하 십본도를 저지하기 위해 교토까지 온 히무라 켄신 (사토 타케루). 한때 켄신의 자리를 이어받아 유신지사로 활동했던 시시오가 정부에 배신당하고 반란을 일으킨 것이다. 시시오 일당에 맞서던 켄신은 십본도의 세타 소지로 (카미키 류노스케)에 의해 역날검이 반토막이 나게 되고, 나라와 자신의 곁을 지키는 사람들이 절체절명의 위험에 빠지고 심지어 유일한 무기였던 역날검마저 쓸 수 없게 되면서 최대의 궁지에 몰리게 된다. 불살을 맹세했던 켄신은 부러진 역날검을 들고 최강의 절대악인 시시오와 맞서 일생일대의 마지막 결전을 앞두게 되는데.."
35,개를 훔치는 완벽한 방법,9,드라마,"어느 순간 아빠와 함께 집이 사라져 버렸다!그래서 지소는 동생 지석이랑 엄마와 함께 미니 봉고차에 지낸 지 벌써 한 달. 딱 일주일만 있다가 이사 간다는 엄마 말은 더 이상 믿을 수 없다.[개를 훔친다 → 전단지를 발견한다 → 개를 데려다 준다 → 돈을 받는다 → 행복하게 끝.]완벽해! 집을 구하기 위해 지소는 ‘개를 훔치는 완벽한 방법’을 계획한다. 개를 잃어버려도 금방 다시 사지 않을 어중간한 부자집, 들고 뛰기에 적당한 어중간한 크기, 훔칠 개를 물색하던 지소는 레스토랑 마르셀의 주인인 노부인의 개 ‘월리’를 목표로 정하는데…올 겨울, 가장 완벽하게 전 세대의 마음을 훔친다!"
36,헝거게임:모킹제이,7,액션,"헝거게임이 끝나고 캣니스의 고향인 12구역이 캐피톨의 폭격으로 파괴되자 그녀는 절망감으로 괴로워한다. 12구역의 생존자들이 13구역에 있다는 것을 알게 된 캣니스는 반정부 세력의 중심이 된다. 어떤 공격도, 어떤 감시도 피할 수 있는 전설의 13구역을 다스리는 대통령 코인은 캣니스에게 혁명의 불꽃이자 반군의 상징인 모킹제이가 되어달라고 부탁하고, 모두의 희망이 된 캣니스는 이제 세상을 구할 반격을 시작한다."
37,시간을 달리는 소녀,9,드라마,"저 마코토에게는 남들에게 말 못할 비밀이 하나 있어요. 타임리프라고 하는 능력이죠.어느 날 우연히 그 능력을 가지게 됐어요.카즈야 이모 말에 따르면 내 또래 여학생들에게 자주 일어날 수 있는 일이라더군요.아무튼 그 능력 덕택에 학교 성적도 좋아지고,지각도 안하고 잦은 실수도 훨씬 줄어들었어요.세상 만사가 다 내 손안에 있는 느낌이었죠.친한 친구인 고스케와 치아키도 저의 변화가 싫지 않은 것 같아요. 매일 셋이서 야구놀이하며 즐거운 나날을 보낼 수 있을 것 같았죠.그런데 느닷없이 치아키가 저에게 고백을 하는 거에요.""마코토, 나랑 사귀지 않을래?"" 전혀 남자로 보이지 않던 녀석인데 저는 깜짝 놀라고 말았어요. 어떻게든 그 고백을 없애기 위해 다시 과거로 돌아가 결국은 그 고백을 듣지 않게 되었어요. 하지만 과거로 돌아가면 돌아갈수록, 일이 점점 꼬여만 가요. 친구인 유리와 치아키가 연인 사이로 발전하는걸 지켜보려니 마음만 씁쓸하고, 고스케를 짝사랑하고 있던 후배 여학생의 고민상담까지 받은 저는 어떻게서든 두 사람을 이어주기 위해 과거에서 현재로 몇 번을 오갔는지 몰라요. 게다가 제가 당할 뻔한 사고를 대신 고스케가 당하는 불상사까지…타임리프로 사람의 마음을 내 멋대로 바꾼 벌을 받고 있나 봐요. 전 이제 어떡하면 좋을까요?"
38,플라이트 93,8,액션,"무역센터, 펜타곤에 연쇄 충돌한 3대의 민항기, 세계를 발칵 뒤집은 9.11 테러사건! 그러나 그날, 납치된 비행기는 총 4대였다... 따뜻하고 평온한 분위기가 감도는 뉴저지 공항. 새로운 국장의 취임으로 화기애애한 분위기의 미국연방항공국. 민항기들을 인도하고 진로를 체크하느라 바쁜 아침을 보내고 있는 관제센터. 편안한 하루의 시작을 알리듯 고요한 9월 11일 오전. 그러나 갑작스레 항로를 이탈하기 시작한 민항기로 평온에 금이 가기 시작한다. 보스턴에서 L.A로 향하는 아메리칸 항공 'AA11'편이 예고 없이 항로를 이탈하고, 관제센터가 교신을 시도하지만 아무런 응답이 없다. 그 순간 들려온 이국적인 말투의 짧은 교신, ""우리는 비행기들을 납치했다!"" 다급해진 관제센터는 테러집단에게 납치된 ""비행기들""을 찾아야만 한다. 美 영공에 떠있는 민항기는 총 4200대! 군과 항공국은 납치된 것으로 추정되는 민항기들을 찾기 시작한다. 뉴욕 근처에서 갑자기 레이더망에서 사라진 'AA11'편. 그 시각, CNN에서는 뉴욕의 상징인 세계무역센터에 비행기가 충돌했다는 충격적인 뉴스가 보도된다. 세계무역센터에서 불길과 연기가 치솟고 있는 가운데 또 다른 민항기가 재차 충돌하고, 이어 국방부 펜타곤에도 민항기가 추락한다. 미국 전역은 아수라장으로 변하고, 뉴욕은 극도의 공포로 마비된다. 같은 시각, 뉴저지에서 샌프란시스코를 향하고 있는 '유나이티드93'편의 승객들은 지상에서 무슨 일이 일어났는지도 모른 채 평온한 비행을 하고 있다. 하지만 승객으로 위장한 테러집단들이 행동을 개시, 비행기를 장악하자 공포에 휩싸이고, 가족들에게 마지막 목소리를 전하며 눈물을 흘리던 승객들은 오직 살기 위해 테러집단에 맞설 준비를 시작하는데... 9월 11일, 네번째 비행기에서는 과연 무슨 일이 벌어졌던 것인가. 충격과 아픔으로 가득한 숨겨진 그 날의 비극이 재현된다! {유나이티드 93의 공중납치만이 목표에 이루지 못하고 오전 10시 3분에 펜실바니아의 생크빌 근처에 추락했다. 생존자는 없었다. 군 사령부는 추락 후 4분까지 유나이티드 93이 공중납치 된 걸 몰랐고, 가장 가까운 전투기는 100마일 떨어져 있었다. 오전 10시 18분에 대통령은 공중납치 비행기에 대한 교전 허가를 내렸다. 우발적인 격추를 피하고자, 군 사령부는 출격 중인 조종사들에게 명령을 전달하지 않았다. 오후 12시 6분에 미국내 모든 국내 항공기가 착륙을 당했다. 전례 없는 군 전파교신 속에 미국 영공은 추후 통지가 있을 때까지 봉쇄되었다. 2001년 9월 11일 생명을 잃은 모든 사람들을 추모하며.}"
40,"사랑하고 사랑받고, 차고 차이고",7,애니메이션,"순정만화 같은 사랑을 꿈꾸는 고교 1학년 '유나'는소극적인 자신과는 달리 자신감 있는 '아카리'와 둘도 없는 친구 사이가 된다.아카리는 조금은 어른스러운 유나의 소꿉친구 '카즈'에게 끌리고,유나는 아카리의 동생 '리오'를 동경하지만 적극적으로 다가서지 못한다. 한편, 리오가 아카리에게 전하지 못한 마음을 간직한 채 부모님의 재혼으로 한 가족이 되었다는 ‘비밀’을 유나와 카즈가 알게 되면서네 사람의 감정은 점점 더 복잡하게 얽히는데…두근두근 엇갈린 짝사랑, 그리고 네 번의 고백그 애를 좋아하는 너를 좋아해도 될까?"
41,더 파더,8,드라마,"나는 런던에서 평화롭게 삶을 보내고 있었다.무료한 일상 속 나를 찾아오는 건 딸 ‘앤’ 뿐이다.그런데 앤이 갑작스럽게 런던을 떠난다고 말한다.그 순간부터 앤이 내 딸이 아닌 것처럼 느껴졌다.잠깐, 앤이 내 딸이 맞기는 한 걸까?기억이 뒤섞여 갈수록 지금 이 현실과 사랑하는 딸,그리고 나 자신까지 모든 것이 점점 더 의심스러워진다."
42,고질라 VS. 콩,8,액션,"거대 몬스터들의 습격을 받은 지 3년 후, 콩은 스컬 아일랜드를 떠나 인간들의 보호관찰을 받고 있다. 한편, 인간들에게 등을 돌린 고질라는 비밀연구회사인 에이펙스에 존재하는 알 수 없는 힘에 이끌려 그곳을 쑥대밭으로 만든다. 위기 상황 속, 지구 안의 또 다른 지구인 할로우 어스의 에너지원을 찾아야만 인류가 안전할 수 있다는 판단하고 콩의 보호자들은 콩과 특별한 유대감을 형성하는 아이 지아와 함께 타이탄들의 고향일지 모르는 그 곳으로 위험한 여정을 떠난다. 그러던 중 분노에 찬 고질라의 공격을 받고, 마침내 맞붙게 된 두 전설의 장대한 대결은 앞으로 닥쳐올 대재앙의 서막에 불과했는데…세상의 운명을 놓고, 지구상 가장 거대한 신화적 존재들의 스펙터클한 대격돌이 시작된다!"
44,런,8,공포/스릴러,태어날 때부터 장애 때문에 휠체어를 타고 외딴 집에서 엄마와 함께 살며 일상을 보내는 ‘클로이’. 딸을 사랑으로 돌보는 엄마 덕분에 힘들지만 매일을 긍정적으로 살아간다. 그러던 어느 날 식탁에 놓인 장바구니에서 하나의 물건을 발견하게 되고 믿었던 모든 일상이 흔들리기 시작하는데…
45,소리도 없이,5,액션,"범죄 조직의 하청을 받아 근면성실하고 전문적으로 시체 수습을 하며 살아가는 ‘태인’과 ‘창복’.어느 날 단골이었던 범죄 조직의 실장 ‘용석’에게 부탁을 받고유괴된 11살 아이 ‘초희’를 억지로 떠맡게 된다.그런데 다음 날 다시 아이를 돌려주려던 두 사람 앞에 '용석'이 시체로 나타나고,두 사람은 예기치 못한 사건에 휘말리게 되는데…"
46,애프터: 그 후,8,멜로,"""너만의 테사는 더 이상 없어!""첫사랑 하딘이 자신과의 연애를 내기에 걸었다는 비밀을 알게 된 '테사'둘은 헤어지지만 서로의 살결과 숨결을 끊지 못하며 아슬아슬한 썸을 이어간다.이후 대학 졸업을 앞둔 취준생 테사는 대형 출판사의 인턴십에 합격하고거친 하딘과는 180도 다른 젠틀한 직장 남사친 '트레버'를 만나게 된다.""테사의 두 번째 남자를 만났다""런던으로 떠나기 전에 테사를 향한 진심을 전하고 싶었던 '하딘'테사의 용서를 기다리며 과거의 잘못을 하나씩 고쳐나간다.워크숍 파티에서 취한 테사의 연락에 하딘은 기대 반, 걱정 반 마음으로결국 테사의 호텔 룸에 찾아가고, 샤워실에서 그녀석 '트레버'와 마주치는데…"
47,다만 악에서 구하소서,7,액션,"태국에서 충격적인 납치사건이 발생하고 마지막 청부살인 미션을 끝낸 암살자 인남(황정민)은 그것이 자신과 관계된 것임을 알게 된다.인남은 곧바로 태국으로 향하고, 조력자 유이(박정민)를 만나 사건을 쫓기 시작한다.한편, 자신의 형제가 인남에게 암살당한 것을 알게 된 레이(이정재). 무자비한 복수를 계획한 레이는 인남을 추격하기 위해 태국으로 향하는데...처절한 암살자 VS 무자비한 추격자멈출 수 없는 두 남자의 지독한 추격이 시작된다!"
48,1917,8,액션,제1차 세계대전이 한창인 1917년.독일군에 의해 모든 통신망이 파괴된 상황 속에서영국군 병사 '스코필드'(조지 맥케이)와 '블레이크'(딘-찰스 채프먼)에게 하나의 미션이 주어졌다.함정에 빠진 영국군 부대의 수장 '매켄지' 중령(베네딕트 컴버배치)에게'에린무어' 장군(콜린 퍼스)의 공격 중지 명령을 전하는 것!둘은 1600명의 아군과 '블레이크'의 형(리차드 매든)을 구하기 위해전쟁터 한복판을 가로지르며 사투를 이어가는데...
50,러브 앳,9,코미디,"#어느 날, 눈 떠보니 평행세계!아내 ‘올리비아’와 다투고 만취 상태로 잠에서 깨어난 ‘라파엘’은 평소와 다름을 느낀다. 같은 듯 다른 세상. 베스트셀러 스타 작가로서의 삶은 간데없고 중학교 선생님이라고!베프 ‘펠릭스’는 탁구광이 되어 있고 결정적으로!! 아내 ‘올리비아’는 자신을 아예 모른 채 유명 피아니스트로 살고 있다.#이 사랑을 기억하니?평행세계로 오게 된 원인이 운명적 사랑이었던 ‘올리비아’와의 관계가 소원해졌기 때문이라고 생각한 ‘라파엘’은 다시 그녀의 사랑을 얻으면 현실세계로 돌아갈 수 있다고 믿고 다가가지만그녀 곁엔 모든 게 완벽한 ‘마크’가 버티고 있다.이 세계에서 유일하게 자신을 믿어주는 친구 ‘펠릭스’의 도움으로그녀의 마음을 공략할 기회를 얻게 되는데…과연, 그들은 다시 사랑할 수 있을까?"
51,겨울왕국 2,8,액션,"어느 날 부턴가 의문의 목소리가 엘사를 부르고, 평화로운 아렌델 왕국을 위협한다.트롤은 모든 것은 과거에서 시작되었음을 알려주며 엘사의 힘의 비밀과 진실을 찾아 떠나야한다고 조언한다. 위험에 빠진 아렌델 왕국을 구해야만 하는 엘사와 안나는 숨겨진 과거의 진실을 찾아크리스토프, 올라프 그리고 스벤과 함께 위험천만한 놀라운 모험을 떠나게 된다.자신의 힘을 두려워했던 엘사는 이제 이 모험을 헤쳐나가기에 자신의 힘이 충분하다고 믿어야만 하는데…두려움을 깨고 새로운 운명을 만나다!"
